Human.Entrez.ID,Human.Gene.Name,Human.Uniprot.ID,Volgyi_2017,Neuner_2017,Sweet_2016,Shi_2014,Chang_2015,Chang_2013,Zolochevska_2018,Krivinko_2018
5216,PFN1,P07737,0,0,0,0,1,0,0,0
57699,CPNE5,Q9HCH3,0,0,0,0,1,0,0,0
80212,CCDC92,Q53HC0,0,0,0,0,1,0,0,0
10575,CCT4,P50991,0,0,0,0,1,0,0,0
58513,EPS15L1,Q9UBC2,0,0,0,0,1,0,0,0
7419,VDAC3,Q9Y277,0,0,1,0,1,0,0,1
1654,DDX3X,O00571,0,0,0,0,1,0,0,0
5706,PSMC6,P62333,0,0,0,0,1,0,0,0
11140,CDC37,Q16543,0,0,0,0,1,0,0,0
10487,CAP1,Q01518,0,1,0,0,1,0,0,0
55699,IARS2,Q9NSE4,0,0,0,0,1,0,0,0
23344,ESYT1,Q9BSJ8,0,0,0,0,1,0,0,0
51056,LAP3,P28838,0,0,0,0,1,0,0,0
6642,SNX1,Q13596,0,0,0,0,1,0,0,0
8522,GAS7,O60861,0,0,0,0,1,0,0,0
811,CALR,P27797,0,0,0,0,1,0,1,0
22884,WDR37,Q9Y2I8,0,0,0,0,1,0,0,0
10128,LRPPRC,P42704,0,0,0,0,1,0,0,0
29978,UBQLN2,Q9UHD9,0,0,0,0,1,0,0,0
25824,PRDX5,P30044,0,0,1,1,1,0,1,1
55968,NSFL1C,Q9UNZ2,0,0,0,0,1,0,0,0
4354,MPP1,Q00013,0,0,0,0,1,0,0,0
1917,EEF1A2,Q05639,0,0,0,0,1,0,0,0
343990,KIAA1211L,Q6NV74,0,0,0,0,1,0,0,0
9318,COPS2,P61201,1,0,0,0,1,0,0,0
10397,NDRG1,Q92597,0,0,0,0,1,0,0,0
7417,VDAC2,P45880,0,0,1,1,1,0,0,1
1465,CSRP1,P21291,0,0,0,0,1,0,0,0
9131,AIFM1,O95831,0,0,0,0,1,0,0,0
6648,SOD2,P04179,0,0,0,1,1,0,0,0
55201,MAP1S,Q66K74,0,0,0,0,1,0,0,0
4128,MAOA,P21397,0,0,0,0,1,0,0,0
9764,KIAA0513,O60268,0,0,0,0,1,0,0,0
9146,HGS,O14964,0,0,0,0,1,0,0,0
9097,USP14,P54578,0,0,0,0,1,0,0,0
25977,NECAP1,Q8NC96,0,0,0,0,1,0,0,0
9368,SLC9A3R1,O14745,0,0,0,0,1,0,0,0
203,AK1,P00568,0,0,1,0,1,0,0,1
51449,PCYOX1,Q9UHG3,0,0,0,0,1,0,0,0
1937,EEF1G,P26641,0,0,0,0,1,0,0,0
5573,PRKAR1A,P10644,0,0,0,0,1,0,0,0
23382,AHCYL2,Q96HN2,0,0,0,0,1,0,0,0
8943,AP3D1,O14617,0,0,0,0,1,0,0,0
11160,ERLIN2,O94905,0,0,0,0,1,0,0,0
51727,CMPK1,P30085,0,0,0,0,1,0,0,0
6457,SH3GL3,Q99963,0,0,0,0,1,0,0,0
5701,PSMC2,P35998,0,0,0,0,1,0,0,0
11033,ADAP1,O75689,0,0,0,0,1,0,0,0
3796,KIF2A,O00139,0,0,0,0,1,0,0,0
1500,CTNND1,O60716,0,0,0,0,1,0,0,0
1155,TBCB,Q99426,0,0,0,0,1,0,0,0
10097,ACTR2,P61160,0,0,0,0,1,0,0,0
4830,NME1,P15531,0,0,0,0,1,0,0,0
2739,GLO1,Q04760,0,0,0,0,1,0,0,0
1398,CRK,P46108,0,0,0,0,1,0,0,0
3039,HBA1,P69905,0,0,0,0,1,0,0,0
51097,SCCPDH,Q8NBX0,0,0,0,0,1,0,0,0
4355,MPP2,Q14168,0,0,0,0,1,0,0,0
223,ALDH9A1,P49189,0,0,0,0,1,0,0,0
51493,RTCB,Q9Y3I0,0,0,0,0,1,0,0,0
5717,PSMD11,O00231,0,0,0,0,1,0,0,0
1629,DBT,P11182,0,0,0,0,1,0,0,0
51143,DYNC1LI1,Q9Y6G9,0,0,0,0,1,0,0,0
10938,EHD1,Q9H4M9,0,0,0,0,1,0,0,0
10971,YWHAQ,P27348,0,0,1,0,1,0,0,1
3837,KPNB1,Q14974,0,0,0,0,1,0,0,0
529,ATP6V1E1,P36543,0,1,0,0,1,0,0,0
9900,SV2A,Q7L0J3,0,0,1,0,1,0,0,1
7335,UBE2V1,Q13404,0,0,0,0,1,0,0,0
3301,DNAJA1,P31689,0,0,0,0,1,0,0,0
6184,RPN1,P04843,0,1,0,0,1,0,0,0
9559,VPS26A,O75436,0,0,0,0,1,0,0,0
9211,LGI1,O95970,0,0,0,0,1,0,0,0
27020,NPTN,Q9Y639,0,0,0,0,1,0,0,0
6767,ST13,P50502,0,0,0,0,1,0,0,0
8480,RAE1,P78406,0,0,0,0,1,0,0,0
6506,SLC1A2,P43004,1,0,0,1,1,0,0,0
2794,GNL1,P36915,0,0,0,0,1,0,0,0
57552,NCEH1,Q6PIU2,0,0,0,0,1,0,0,0
8514,KCNAB2,Q13303,0,0,0,0,1,0,0,0
10910,SUGT1,Q9Y2Z0,0,0,0,0,1,0,0,0
23580,CDC42EP4,Q9H3Q1,0,0,0,0,1,0,0,0
5300,PIN1,Q13526,0,0,0,0,1,0,0,0
7163,TPD52,P55327,0,0,0,0,1,0,0,0
5217,PFN2,P35080,0,0,0,0,1,0,1,0
