entA,interaction,entB,directed
1956,pp,2805,FALSE
1956,pp,7184,FALSE
1956,pp,7389,FALSE
1956,pp,226,FALSE
10273,pp,1956,FALSE
1956,pp,9218,FALSE
10439,pp,1956,FALSE
1173,pp,1956,FALSE
1956,pp,8404,FALSE
1956,pp,51286,FALSE
1956,pp,6853,FALSE
11047,pp,1956,FALSE
1956,pp,23770,FALSE
10540,pp,1956,FALSE
1956,pp,2824,FALSE
1956,pp,79026,FALSE
1956,pp,382,FALSE
1956,pp,5730,FALSE
1956,pp,873,FALSE
1465,pp,1956,FALSE
1956,pp,7345,FALSE
1956,pp,5303,FALSE
1956,pp,3320,FALSE
1956,pp,6616,FALSE
1956,pp,5910,FALSE
1956,pp,3313,FALSE
815,pp,815,FALSE
10059,pp,10059,FALSE
8237,pp,8237,FALSE
2932,pp,2932,FALSE
5499,pp,5595,FALSE
5499,pp,5594,FALSE
1845,pp,5595,FALSE
5515,pp,5595,FALSE
5515,pp,5594,FALSE
1845,pp,5594,FALSE
439,pp,439,FALSE
4905,pp,5780,FALSE
5160,pp,54704,FALSE
310,pp,60,FALSE
310,pp,51412,FALSE
310,pp,506,FALSE
310,pp,523,FALSE
310,pp,7917,FALSE
10574,pp,310,FALSE
10980,pp,310,FALSE
221184,pp,310,FALSE
1400,pp,310,FALSE
1508,pp,310,FALSE
23564,pp,310,FALSE
1915,pp,310,FALSE
2597,pp,310,FALSE
2783,pp,310,FALSE
10681,pp,310,FALSE
3032,pp,310,FALSE
310,pp,55611,FALSE
310,pp,5162,FALSE
310,pp,5315,FALSE
310,pp,6187,FALSE
26230,pp,310,FALSE
310,pp,7114,FALSE
310,pp,7846,FALSE
310,pp,347733,FALSE
10381,pp,310,FALSE
310,pp,7431,FALSE
1397,pp,481,FALSE
23564,pp,481,FALSE
11140,pp,54862,FALSE
1113,pp,11140,FALSE
11140,pp,1428,FALSE
11140,pp,1639,FALSE
11140,pp,2475,FALSE
10989,pp,11140,FALSE
54918,pp,6613,FALSE
10574,pp,1785,FALSE
1759,pp,1785,FALSE
1785,pp,6187,FALSE
1785,pp,26230,FALSE
1400,pp,1808,FALSE
10570,pp,1808,FALSE
2273,pp,9590,FALSE
1627,pp,2273,FALSE
11345,pp,5786,FALSE
11345,pp,6187,FALSE
11345,pp,7534,FALSE
2597,pp,2806,FALSE
2597,pp,3735,FALSE
2597,pp,26578,FALSE
2597,pp,7531,FALSE
2745,pp,2806,FALSE
2885,pp,998,FALSE
2885,pp,28964,FALSE
23205,pp,2932,FALSE
2932,pp,51412,FALSE
11033,pp,2932,FALSE
