entA,entB
1398,55697
1398,5049
2885,7415
1398,5566
1398,54443
1398,23157
1398,5700
1398,2098
26060,51493
2885,50855
22924,55198
1627,2885
2885,7415
26060,51493
22924,55198
2885,50855
1398,3927
1398,55697
1398,5049
1627,2885
2885,7415
1398,55748
1398,51493
6710,6772
1398,5566
1445,5170
6708,6710
6708,6710
2597,5550
1956,1956
6622,7533
6622,6622
6622,7533
1728,1728
1728,1728
1728,1728
10015,1956
1956,4035
1956,3308
1956,2885
1956,4137
1399,1956
1956,3320
1956,7529
1956,8874
1398,1956
1956,7846
1956,351
1956,408
1956,2549
1956,7295
10971,1956
1956,6772
10458,1956
1956,5599
1956,3312
1956,6456
1956,5058
1956,7534
10454,1956
1956,5581
1956,2597
1956,6622
1956,51429
1956,6457
1500,1956
1956,2017
1956,81
1956,3326
1956,7430
1956,4915
1956,5578
1445,1956
10273,1956
1072,1956
2550,9568
1956,3326
1956,6772
1956,5578
1398,1956
1956,3312
10938,51479
10938,51479
4137,4140
4137,4139
2011,4137
4915,6272
10211,2319
51699,9559
51699,55737
6642,6643
55737,6642
6642,6642
55737,9559
6643,6643
51699,55737
10015,6386
10152,9743
5515,55697
11332,816
11332,29979
11332,1410
10213,5713
3251,6386
2512,6386
6252,6386
54585,6386
10152,6386
55964,6386
55577,6386
22924,6386
6386,8618
8573,8825
4355,8825
7791,8825
10152,9146
2051,60491
2512,2512
226,230
29979,6184
2170,57698
3939,3945
163,293
1327,6386
6050,6386
1936,7178
4830,4830
5702,5706
5372,5870
22924,5689
5110,7965
29979,5479
1072,60
1072,71
1072,1073
6843,9342
1933,1937
5682,5684
22919,5682
22924,5682
51100,5682
5682,7415
2286,29979
527,5684
5684,5692
1936,1937
10105,10152
5701,5711
27316,3190
10486,71
10313,5780
114569,5780
2947,2949
5864,5877
29979,6782
6386,997
10152,7408
55198,5878
387,396
23647,9146
114569,23647
113146,11345
11345,55738
11345,23786
11345,79876
5684,5687
11135,998
11034,60
11034,71
1073,11034
11034,8887
3382,5862
10133,10890
55611,7323
5912,816
5700,5708
5706,6386
10617,2885
2885,3190
2885,60491
6844,9342
60,71
1073,71
23549,4354
3831,663
1962,71
1962,60
10152,5562
7965,9255
3735,7965
5062,998
29979,7335
1781,83658
10152,5300
10313,6642
57142,6642
1400,1809
1808,1809
2912,29979
3927,5684
3927,55964
23157,4735
5684,7536
10982,22919
22919,22924
5700,5711
1808,56896
55697,883
29979,441518
10486,60
3939,5602
29979,51144
10486,1073
1073,60
30011,5684
114569,203068
10016,311
10342,311
10152,56243
114569,6455
3190,9444
10152,3190
