ENTREZ.ID,GENE.NAME,DEGREE,Closeness,Bet,CC,Cl,Clnorm,SP,PR,sgG5,BRIDGE_sgG5,PROB_sgG5,MIX_sgG5,BR_CONSENSUS,BR_CONSENSUS_MAD,BR_CONSENSUS_ADJ,DE
10570,10570,4,0.255,294.888610856926,0.5,7861,0.035902314965168,2,0.000591704304925706,32,0.19886398577282,0.999992441489739,0.25,0.19886398577282,0,-0.41704196818684497,0
114569,114569,12,0.271,4019.3990728898207,0.0606060606060606,12475,0.0570073323239762,3,0.00172101085220336,42,0.438053021348496,0.99999999999919,0.4166666666666671,0.438053021348496,0,0.637770157736938,0
23176,23176,6,0.28300000000000003,520.637309353252,0.33333333333333304,17222,0.0787207084406347,2,0.000805399131326509,12,0.3644277238000251,0.9999851185621809,0.5,0.3644277238000251,0,0.31308614184147304,2
10015,10015,13,0.322,8483.478267040551,0.0897435897435897,57406,0.262527387579418,1,0.00176382367135165,80,0.5674723355900749,0.999999985587361,0.6923076923076921,0.5674723355900749,0,1.20850309983105,1
10059,10059,4,0.268,1072.0294995719198,0.0,12146,0.0555024448703464,3,0.0006023982369540889,11,0.45863674753374206,0.9893190667980191,0.75,0.45863674753374206,0,0.728543398762123,1
192683,192683,3,0.252,131.503215899678,0.0,6383,0.0291417567388311,3,0.00047331593376661506,42,0.35833445992924495,0.975758358903057,0.666666666666667,0.35833445992924495,0,0.286215141664215,0
2885,2885,80,0.369,74126.58740731349,0.0110759493670886,146340,0.669322709163347,1,0.0104410563829158,55,0.797144743043755,1.0,0.825,0.797144743043755,0,2.22134735412213,0
3064,3064,37,0.321,23001.293644767597,0.0045045045045045,48328,0.221003471761633,2,0.00501501641817785,67,0.718826501576633,0.999999999999999,0.7837837837837841,0.718826501576633,0,1.8759676815894,0
274,274,5,0.294,1456.6754505483402,0.1,23094,0.10557997630602699,2,0.0007270601257116099,65,0.497031896850683,0.99989551760325,0.6,0.497031896850683,0,0.897864157879235,0
6453,6453,20,0.308,8627.91080586823,0.0421052631578947,30947,0.141500587775191,2,0.00269118839524223,69,0.6333642757093381,0.9999999988533291,0.7,0.6333642757093381,0,1.49908338195461,0
51429,51429,5,0.293,676.533578783332,0.2,26897,0.122975377479748,1,0.000696252555557904,32,0.23928208351247102,0.999982053449246,0.4,0.23928208351247102,0,-0.238800103964486,0
5303,5303,3,0.29,223.609326886331,0.0,24334,0.111251892544632,1,0.00046137144207000996,66,0.35833445992924495,0.98398159640525,0.666666666666667,0.35833445992924495,0,0.286215141664215,0
92609,92609,2,0.237,33.645629011797396,0.0,2657,0.0120985632670238,3,0.000357608375980861,71,0.29343235838972803,0.991156226553948,0.5,0.29343235838972803,0,0.0,0
10484,10484,7,0.265,2383.37281279842,0.0,6776,0.0309393882563889,3,0.00110467564508972,11,0.388724038065853,0.999999998738768,0.42857142857142894,0.388724038065853,0,0.420231717478622,0
10574,10574,10,0.287,4660.97097127354,0.0666666666666667,15410,0.0704323921306736,2,0.00133305646865373,59,0.660133987607736,0.9998549200618639,0.8,0.660133987607736,0,1.6171365220158003,0
1639,1639,55,0.332,48180.1620272258,0.0228956228956229,69266,0.316776521926073,2,0.008313341396714179,34,0.729879191308516,1.0,0.6363636363636359,0.729879191308516,0,1.92470951093456,0
26060,26060,12,0.309,6495.788962445949,0.0151515151515152,42003,0.19207212481875,1,0.00172593977906019,65,0.512227289409952,0.99999999994216,0.583333333333333,0.512227289409952,0,0.9648751071525259,0
1398,1398,35,0.32799999999999996,16901.467834976298,0.0201680672268908,73583,0.336523023863215,1,0.00440403609304594,23,0.635498719538287,1.0,0.6,0.635498719538287,0,1.50849617643099,0
22941,22941,12,0.29600000000000004,844.472869221699,0.18181818181818202,38576,0.17639659502060603,2,0.0014253366702677301,23,0.512547057205052,0.99999920740504,0.583333333333333,0.512547057205052,0,0.966285267726733,1
